stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short
12138,Highland Av & E 12th St (Walmart),32.6747154692,-117.097476627,12138,0,,1,N-S/B,,,Highland&E 12th (Walmart)
12139,Fairmount Av & Ridgeview Dr,32.7260978498,-117.097993484,12139,0,,1,F-S/B,,,Fairmnt&Ridgeview
12140,Mission Gorge Rd & Rainier Av,32.7894026248,-117.097809075,12140,0,,1,F-S/B,,,Msn Grg&Rainier
12141,Mission Gorge Rd & Vandever Av,32.7874565896,-117.097822881,12141,0,,1,F-S/B,,,Msn Grg&Vandever
12142,Carmel Mountain Rd & Via Rimini,32.9664280544,-117.099806871,12142,0,,1,M-Street-S/B,,,Carmel Mtn&Via Rimini
12144,La Cuenta Dr & Cariuto Ct,32.8238482461,-117.096005388,12144,0,,1,F-S/B,,,La Cuenta&Cariuto
12145,La Cuenta Dr & Clairemont Mesa Bl,32.8263224941,-117.095918486,12145,0,,1,F-S/B,clalac,,La Cuenta&Cmnt Mesa
12146,Carmel Mountain Rd & Via San Marco,32.9687013037,-117.096966068,12146,0,,1,M-Street-S/B,,,Carmel Mtn&Via San Marco
12147,Highland Av & 24th St,32.6640167413,-117.093299188,12147,0,,1,F-S/B,,,Highland&24th
12149,47th St & Ocean View Bl,32.7002026884,-117.09381112,12149,0,,1,F-S/B,,,47th&Ocn Vw
12150,47th St & Imperial Av,32.703374559,-117.093795971,12150,0,,1,F-S/B,,,47th&Imperial
12151,47th St & Craigie St,32.7140669201,-117.093693506,12151,0,,2,F-S/B,,,47th&Craigie
12152,47th St & Hwy 94 (Overpass),32.717857275,-117.093668013,12152,0,,1,F-S/B,,,47th&Hwy 94 (Overpass)
12153,47th St & Air Way,32.7193306412,-117.093643101,12153,0,,1,F-S/B,,,47th&Air Way
12154,47th St & Federal Bl,32.7208808269,-117.09363843,12154,0,,1,F-S/B,47fed,,47th&Federal
12155,Crawford St & Zion Av (Kaiser),32.7925847883,-117.093886038,12155,0,,1,F-S/B,kaihos,,Crawford&Zion (Kaiser)
