stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short,stop_url
99324,Woodman St & Plaza Bl,32.69668705,-117.0518459,99324,0,,0,F-S/B,,,Woodman&Pza,
99325,Woodman St & Plaza Bl,32.69697535,-117.0518908,99325,0,,1,M-Street-N/B,,,Woodman&Pza,
99326,Woodman St & Bullock Dr,32.69543582,-117.0498323,99326,0,,1,N-S/B,,,Woodman&Bullock,
99327,Woodman St & Bullock Dr,32.69568693,-117.0496785,99327,0,,1,F-N/B,,,Woodman&Bullock,
99328,Paseo De Las Americas & Siempre Viva Rd,32.55743839,-116.9357865,99328,0,,1,F-N/B,,,Pso dl Amrcas&Siempre Viva,
99329,Heinrich Hertz Dr & Neils Bohr Ct,32.55867434,-116.9384022,99329,0,,1,F-W/B,,,Heinrich Hertz&Neils Bohr,
99331,Siempre Viva Rd & Sarnen St,32.55335641,-116.9529381,99331,0,,1,N-W/B,,,Siempre Viva&Sarnen,
99332,Siempre Viva Rd & Melksee St,32.55310865,-116.9568466,99332,0,,1,F-E/B,,,Siempre Viva&Melksee,
99333,Siempre Viva Rd & Sarnen St,32.55305777,-116.9532538,99333,0,,1,F-E/B,,,Siempre Viva&Sarnen,
99335,Heinrich Hertz Dr & Neils Bohr Ct,32.5585148,-116.9379336,99335,0,,1,F-E/B,,,Heinrich Hertz&Neils Bohr,
99337,Highland Av & 8th St,32.6786561,-117.0987787,99337,0,,1,F-N/B,hig8th,,Highland&8th,
99338,Highland Av & 4th St,32.6819729,-117.1000684,99338,0,,1,F-N/B,,,Highland&4th,
99339,Highland Av & Division St,32.68534183,-117.1013684,99339,0,,1,F-N/B,,,Highland&Division,
99340,Jamacha Rd & Campo Rd,32.73943995,-116.9414729,99340,0,,1,F-E/B,,,Jamacha&Campo,
99342,Broadway & Park Bl,32.71583248,-117.1540629,99342,0,citcol,2,F-W/B,citcol,,Brdwy&Park,
99343,11th Av & C St,32.7165295,-117.154587,99343,0,11tbro,1,N-N/B,11tbro,,11th&C,
99344,Cumberland St & Calle Tres Lomas,32.6780342,-117.0571458,99344,0,,2,N-E/B,,,Cumberland&Calle Tres Lomas,
99345,Ocean View Bl & Dewey St,32.70419077,-117.1384209,99345,0,,1,F-E/B,,,Ocn Vw&Dewey,
99347,San Ysidro Transit Center,32.5447553,-117.0298061,99347,0,sytro,1,N-N/B,sytro,,San Ysidro TC,
