stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,intersection_code,reference_place,stop_name_short,stop_place
11798,11798,Massachusetts Av & Madera St,,32.72769544,-117.04292917,,,0,,1,M-Street-S/B,,Mass&Madera,
12969,12969,Massachusetts Av & Madera St,,32.72782595,-117.04272224,,,0,,0,F-N/B,,Mass&Madera,
12235,12235,Massachusetts Av & Mt Vernon St,,32.73124286,-117.04306515,,,0,,1,F-S/B,,Mass&Mt Vernon,masmtv
12574,12574,Massachusetts Av & Mt Vernon St,,32.73081815,-117.04286297,,,0,,0,N-N/B,,Mass&Mt Vernon,masmtv
12236,12236,Massachusetts Av & Rosemary Ln,,32.73312576,-117.04303657,,,0,,2,F-S/B,,Mass&Rosemary,
11795,11795,Massachusetts Av & San Miguel Av,,32.73620431,-117.04299923,,,0,,1,M-Street-S/B,,Mass&San Miguel,masmig
75040,75040,Massachusetts Ave Station,,32.72355904,-117.03948895,,,0,masS,0,M-TC-Train-N/B,,Mass Ave,masS
75041,75041,Massachusetts Ave Station,,32.72346190,-117.03967992,,,0,masS,0,M-TC-Train-S/B,,Mass Ave,masS
41055,41055,Mast Bl & 8756 (West Hills Hs),,32.84895639,-117.01721080,,,0,,1,M-Street-E/B,,Mast&8756 (WHills Hs),whilhs
41059,41059,Mast Bl & Fanita Pkwy,,32.85025035,-117.00427265,,,0,,1,F-E/B,,Mast&Fanita,
41056,41056,Mast Bl & Medina Dr,,32.84961771,-117.01027122,,,0,,1,F-E/B,,Mast&Medina,
41057,41057,Mast Bl & Pebble Beach Dr,,32.84957078,-117.00762032,,,0,,1,F-E/B,,Mast&Pebble Bch,
41054,41054,Mast Bl & West Hills Pkwy,,32.84812901,-117.02040432,,,0,,1,F-E/B,,Mast&WHills,
12238,12238,Meadowbrook Dr & Blackpool Rd,,32.70523908,-117.03149237,,,0,,0,F-S/B,,Mdwbrk&Blackpool,
12577,12577,Meadowbrook Dr & Blackpool Rd,,32.70549564,-117.03134185,,,0,,1,M-Street-N/B,,Mdwbrk&Blackpool,
11803,11803,Meadowbrook Dr & Brookhaven Rd,,32.69988446,-117.02984560,,,0,,1,N-S/B,,Mdwbrk&Brookhaven,
12241,12241,Meadowbrook Dr & Brookmeadow Pl,,32.69932886,-117.02816988,,,0,,1,M-Street-S/B,,Mdwbrk&Brookmeadow,
11801,11801,Meadowbrook Dr & Gribble St,,32.70348892,-117.03095998,,,0,,0,N-S/B,,Mdwbrk&Gribble,
12971,12971,Meadowbrook Dr & Gribble St,,32.70363319,-117.03074671,,,0,,2,F-N/B,,Mdwbrk&Gribble,
11800,11800,Meadowbrook Dr & Knollwood Rd,,32.70733707,-117.03265203,,,0,,0,M-Street-S/B,,Mdwbrk&Knollwood,
12970,12970,Meadowbrook Dr & Knollwood Rd,,32.70769282,-117.03289575,,,0,,1,F-N/B,,Mdwbrk&Knollwood,
