"objectid","stop_uid","stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng"
"4463","NCTD_20067","20067","20067","Lake Bl & Thunder Dr","33.18010400","-117.28900400","NCTD","","N-E/B","","","33.18009919011633","-117.28899204376582"
"4464","NCTD_20068","20068","20068","Lake Bl & Del Cerro Av","33.17849300","-117.28386600","NCTD","","F-E/B","","","33.17848819031411","-117.28385404522024"
"4465","NCTD_20069","20069","20069","Santa Fe Dr & Santa Fe Plaza","33.03611000","-117.28364700","NCTD","","N-E/B","ScripH","","33.03610520638521","-117.2836350555655"
"4466","NCTD_20070","20070","20070","Sky Haven Ln & Lake Bl","33.17762700","-117.28054200","NCTD","","F-N/B","","","33.177622190472114","-117.2805300454058"
"4467","NCTD_20071","20071","20071","Encinitas Bl & Delphinium St","33.04864300","-117.27579400","NCTD","","N-E/B","","","33.04863820516816","-117.27578205638284"
"4468","NCTD_20075","20075","20075","W Vista Way & Hill Dr","33.19216600","-117.27125400","NCTD","","N-E/B","","","33.19216118784743","-117.27124204687391"
"4469","NCTD_20077","20077","20077","Encinitas Bl & Balour Dr","33.04518800","-117.26925600","NCTD","","N-E/B","","","33.04518320497315","-117.26924405738606"
"4470","NCTD_20081","20081","20081","Lomas Santa Fe Dr & Solana Hills Dr","32.99595200","-117.25934700","NCTD","","F-E/B","","","32.99594721006235","-117.25933506303562"
"4471","NCTD_20085","20085","20085","Los Angeles Dr & Georgia Ln","33.21312200","-117.25090400","NCTD","","N-E/B","","","33.21311718405644","-117.25089204816294"
"4472","NCTD_20088","20088","20088","Bobier Dr & N Santa Fe Av","33.22106800","-117.24648200","NCTD","","N-E/B","nsfbob","","33.2210631826809","-117.24647004854057"
"4473","NCTD_20090","20090","20090","E Vista Way & Franklin Ln","33.20734900","-117.23590300","NCTD","","M-Street-N/B","","","33.207344184535614","-117.2358910517073"
"4474","NCTD_20092","20092","20092","Williamston St & Vale Terrace Dr","33.20966500","-117.22931400","NCTD","","M-Street-E/B","towviE","","33.2096601831502","-117.22930205235028"
"4475","NCTD_20094","20094","20094","E Vista Way & Palomar Pl","33.22330000","-117.22599500","NCTD","","F-N/B","","","33.22329518145679","-117.22598305155051"
"4476","NCTD_20096","20096","20096","Arcadia Av & Oak Dr","33.22480400","-117.22212300","NCTD","","N-E/B","","","33.22479918159111","-117.22211105207073"
"4477","NCTD_20097","20097","20097","Poinsettia Av & Specialty Dr","33.14077800","-117.21946500","NCTD","","N-E/B","","","33.14077319100343","-117.21945305895915"
"4478","NCTD_20105","20105","20105","Mission Rd & Woodland Pkwy","33.14098600","-117.13794300","NCTD","","F-E/B","","","33.140981186558875","-117.13793107305024"
"4479","NCTD_20106","20106","20106","Mission Rd & Rancheros Dr","33.13583300","-117.13010500","NCTD","","N-E/B","","","33.13582818727074","-117.13009307422737"
"4480","NCTD_20109","20109","20109","El Norte Pkwy & Bennett Av","33.15274100","-117.12191400","NCTD","","N-E/B","","","33.15273618451838","-117.12190207550057"
"4481","NCTD_20110","20110","20110","El Norte Pkwy & Las Palmas Ln","33.14993600","-117.11723900","NCTD","","N-E/B","","","33.14993118424706","-117.11722707659355"
"4482","NCTD_20111","20111","20111","Mission Rd & Washington Av","33.12396000","-117.10575500","NCTD","","F-E/B","","","33.12395518738801","-117.10574307965115"
